gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4430945768				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-12T20:59:14Z		https://www.inaturalist.org/observations/176698076	accidentalshrike					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/176698076	176698076		accidentalshrike						larva																																	2023-07-24T21:13:43-03:00	21:13:43-03:00						2023-07-24 21:13:43																GF	Cayenne				Saint-Elie, Régina 97390, Guyane française												4.0882583333	-52.6796694444	EPSG:4326																																			416998637				Felipi Andrade		2023-10-12T02:40:38Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4430892144				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-12T23:18:41Z		https://www.inaturalist.org/observations/148638350	fabiana dos santos de oliveira					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/148638350	148638350		fabiana dos santos de oliveira																																							2023-02-12T16:00:11-03:00	16:00:11-03:00						2023-02-12 16:00:11																BR	São Paulo				Ferreirada, São Miguel Arcanjo - SP, 18230-000, Brasil												-24.0555111111	-47.978375	EPSG:4326																																			333516225				fabiana dos santos de oliveira		2023-02-12T21:27:14Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4430503802				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-08T23:47:00Z		https://www.inaturalist.org/observations/187063728	Juan Luis Hanoun Castro					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/187063728	187063728		Juan Luis Hanoun Castro																																							2023-09-06T19:10:53-06:00	19:10:53-06:00						2023-09-06 19:10:53-06:00																HN	Francisco Morazán				Zamorano, San Antonio De Oriente, Francisco Morazán, HN												14.0074409062	-87.0089513659	EPSG:4326	23																																		416715591				Aaron Soh		2023-10-11T04:25:12Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4424376677				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-10T09:36:38Z		https://www.inaturalist.org/observations/186479081	Cynthia Tercero					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/186479081	186479081		Cynthia Tercero																																							2023-10-04T19:56:27-06:00	19:56:27-06:00						2023-10-04 19:56:27																NI	Masaya				2RCM+X38, Los Ranchitos, Nicaragua												12.0215457344	-86.1672711745	EPSG:4326	692																																		415293414				Cynthia Tercero		2023-10-07T00:27:24Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4413978066				http://creativecommons.org/licenses/by-nc/4.0/	2023-09-13T02:06:47Z		https://www.inaturalist.org/observations/182984676	Cynthia Tercero					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/182984676	182984676		Cynthia Tercero																																							2023-09-11T17:52:59-06:00	17:52:59-06:00						2023-09-11 17:52:59																NI	Masaya				2RCM+X38, Los Ranchitos, Nicaragua												12.0215457344	-86.1672711745	EPSG:4326	692																																		407507604				Cynthia Tercero		2023-09-12T19:26:52Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4413763776				http://creativecommons.org/licenses/by-nc/4.0/	2023-09-17T12:34:59Z		https://www.inaturalist.org/observations/183408024	Cristiane Homsi					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/183408024	183408024		Cristiane Homsi																																							2023-09-14T08:13:32-03:00	08:13:32-03:00						2023-09-14 08:13:32-03:00																BR	São Paulo				São Sebastião, SP, BR												-23.8191283333	-45.4587216667	EPSG:4326	10																																		408518182				Eduardo Tavares		2023-09-16T01:26:05Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4413498659				http://creativecommons.org/licenses/by-nc/4.0/	2023-09-10T02:13:51Z		https://www.inaturalist.org/observations/149608401	Oscar Enciso					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/149608401	149608401		Oscar Enciso																																							2023-02-24T18:49:04-05:00	18:49:04-05:00						2023-02-24 18:49:04																CO	Cundinamarca				Nocaima												5.0694569146	-74.3803049996	EPSG:4326	712																																		336570184				Oscar Enciso		2023-02-25T04:02:25Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4413380487				http://creativecommons.org/licenses/by-nc/4.0/	2023-09-09T02:32:43Z		https://www.inaturalist.org/observations/153642909	Oscar Enciso					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/153642909	153642909		Oscar Enciso																																							2023-04-05T21:07:11-05:00	21:07:11-05:00						2023-04-05 21:07:11																CO	Cundinamarca				Nocaima												5.0694569146	-74.3803049996	EPSG:4326	712																																		347393732				Oscar Enciso		2023-04-06T02:18:51Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4407607591				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-19T08:20:06Z		https://www.inaturalist.org/observations/181850740	Velkiss Gadea					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/181850740	181850740		Velkiss Gadea																																							2023-09-03T17:52:28-06:00	17:52:28-06:00						2023-09-03 17:52:28																NI	Managua				3R47+63W, Managua, Nicaragua												12.0555129722	-86.18984	EPSG:4326																																			404996899				Velkiss Gadea		2023-09-05T02:30:26Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4407417973				http://creativecommons.org/publicdomain/zero/1.0/	2023-09-04T01:44:25Z		https://www.inaturalist.org/observations/181534752	andré					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/181534752	181534752		andré																																							2023-07-26T19:51:51-03:00	19:51:51-03:00						2023-07-26 19:51:51																BR	São Paulo				Cachoeira, Ibiúna - SP, 18150-000, Brasil												-23.6270414904	-47.2308428586	EPSG:4326	149																																		404353487				andré		2023-09-03T10:43:59Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4172005987				http://creativecommons.org/licenses/by-nc/4.0/	2023-08-02T23:09:53Z		https://www.inaturalist.org/observations/176259037	ivanlau					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/176259037	176259037		ivanlau																																							2020-02-12T08:43:09-05:00	08:43:09-05:00						2020-02-12 08:43:09																CO	Nariño				RN La Isla Escondida												0.6542067381	-77.073809132	EPSG:4326	212																																		392923767				Lepidoptera Colombiana 🇨🇴		2023-08-02T21:32:02Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4145580914				http://creativecommons.org/licenses/by-nc/4.0/	2023-07-03T00:09:30Z		https://www.inaturalist.org/observations/170749010	Yoannis Domínguez					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/170749010	170749010		Yoannis Domínguez																																							2023-06-30T09:17:37-03:00	09:17:37-03:00						2023-06-30 09:17:37																BR	São Paulo				Japuí, São Vicente - SP, Brasil												-23.984099525	-46.3916465444	EPSG:4326																																			381410370				Enrico A. R. Tosto		2023-07-03T00:07:55Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4134067668				http://creativecommons.org/licenses/by-nc/4.0/	2023-06-13T23:01:05Z		https://www.inaturalist.org/observations/166833024	Fernando					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/166833024	166833024		Fernando						adult																		Mariposa nocturna															2023-06-10T19:17:39-04:00	19:17:39-04:00						2023-06-10 19:17:39																VE	Miranda				FC25+M58, Guarenas 1220, Miranda, Venezuela												10.4519444444	-66.5922222222	EPSG:4326																																			373814486				Aaron Soh		2023-06-12T05:31:59Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4133906450				http://creativecommons.org/licenses/by-nc/4.0/	2023-06-13T22:39:27Z		https://www.inaturalist.org/observations/140962544	Wolf-Achim and Hanna Roland					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/140962544	140962544		Wolf-Achim and Hanna Roland					undetermined	larva																		Photo and ID by Hanna Roland															2006-10-05T00:00:00-04:00	00:00:00-04:00						2006/10/05 12:00 AM																VE	Carabobo				Vía Palmichal, Canoabo 2040, Carabobo, Venezuela												10.2829323	-68.2544643	EPSG:4326	210																																		310986437				Wolf-Achim and Hanna Roland		2022-11-03T09:57:54Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4076421821				http://creativecommons.org/licenses/by/4.0/	2023-04-04T03:19:14Z		https://www.inaturalist.org/observations/153380616	vinicius_s_domingues					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/153380616	153380616		vinicius_s_domingues						pupa																		https://www.inaturalist.org/observations/107223879															2021-08-30T15:46:00-03:00	15:46:00-03:00						2021/08/30 3:46 PM -0400																BR	Rio Grande do Sul				Rio Grande - RS, Brasil												-32.0383767971	-52.250632983	EPSG:4326	1946																																		346778371				vinicius_s_domingues		2023-04-03T22:46:17Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4076118466				http://creativecommons.org/licenses/by-nc/4.0/	2023-04-02T10:50:17Z		https://www.inaturalist.org/observations/153102241	borala					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30562m at the request of the observer			https://www.inaturalist.org/observations/153102241	153102241		borala																																							2023-04-01T14:22:00-03:00	14:22:00-03:00						2023/04/01 2:22 PM																BR	Minas Gerais				Minas Gerais, BR												-19.5429422648	-43.5523363857	EPSG:4326	30562																																		346138104				Enrico A. R. Tosto		2023-04-01T22:38:13Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4076047771				http://creativecommons.org/licenses/by/4.0/	2023-04-04T03:19:27Z		https://www.inaturalist.org/observations/153380620	vinicius_s_domingues					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/153380620	153380620		vinicius_s_domingues						larva																		https://www.inaturalist.org/observations/107223879															2021-08-30T15:46:00-03:00	15:46:00-03:00						2021/08/30 3:46 PM -0400																BR	Rio Grande do Sul				Rio Grande - RS, Brasil												-32.0383767971	-52.250632983	EPSG:4326	1946																																		346778382				vinicius_s_domingues		2023-04-03T22:46:19Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4067365749				http://creativecommons.org/licenses/by-nc/4.0/	2023-03-15T17:55:10Z		https://www.inaturalist.org/observations/151174486	Junior França					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/151174486	151174486		Junior França																																							2023-02-24T11:18:18-03:00	11:18:18-03:00						2023-02-24 11:18:18-03:00																BR	Paraíba				Areia, PB, BR												-6.9765161196	-35.7475082686	EPSG:4326	1330																																		341535178				Felipi Andrade		2023-03-15T17:05:08Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4063039171				http://creativecommons.org/licenses/by-nc/4.0/	2023-03-12T21:50:07Z		https://www.inaturalist.org/observations/150972212	edvandroabreuribeiro					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150972212	150972212		edvandroabreuribeiro																																							2023-03-11T10:19:00-03:00	10:19:00-03:00						2023/03/11 10:19																BR	Rio de Janeiro				Santo Aleixo, Magé - RJ, Brasil												-22.557697418	-43.0494815619	EPSG:4326	1																																		340864616				edvandroabreuribeiro		2023-03-12T21:35:46Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4062743745				http://creativecommons.org/licenses/by-nc/4.0/	2023-03-09T16:58:43Z		https://www.inaturalist.org/observations/150657791	JULIO CESAR GONZALEZ FILIPINO					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150657791	150657791		JULIO CESAR GONZALEZ FILIPINO																																							2023-02-25T09:12:00-03:00	09:12:00-03:00						2023/02/25 09:12																BR	São Paulo				Santo Antônio da Alegria, SP, 14390-000, Brasil												-21.0890652331	-47.1535075612	EPSG:4326	4																																		339896982				JULIO CESAR GONZALEZ FILIPINO		2023-03-09T15:19:13Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4062586768				http://creativecommons.org/licenses/by-nc/4.0/	2023-03-09T16:58:47Z		https://www.inaturalist.org/observations/150657790	JULIO CESAR GONZALEZ FILIPINO					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150657790	150657790		JULIO CESAR GONZALEZ FILIPINO																																							2023-02-25T09:10:00-03:00	09:10:00-03:00						2023/02/25 09:10																BR	São Paulo				Santo Antônio da Alegria, SP, 14390-000, Brasil												-21.0890764936	-47.1534995146	EPSG:4326	61																																		339896980				JULIO CESAR GONZALEZ FILIPINO		2023-03-09T15:19:13Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4046568174				http://creativecommons.org/licenses/by-nc/4.0/	2023-02-26T21:20:53Z		https://www.inaturalist.org/observations/149719273	faustomorais					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/149719273	149719273		faustomorais																																							2023-02-25T09:12:00-03:00	09:12:00-03:00						2023/02/25 09:12																BR	São Paulo				Santo Antônio da Alegria - SP, 14390-000, Brasil												-21.1263442598	-47.2538741132	EPSG:4326	61																																		336865437				faustomorais		2023-02-26T12:19:43Z				1287780								Dynastor darius ictericus								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
