gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4522784239	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/351003580/original.png	https://www.inaturalist.org/photos/351003580					2024-02-07T04:33:00Z	Marina Bazilio Milford		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marina Bazilio Milford
4522784239	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/351003499/original.jpg	https://www.inaturalist.org/photos/351003499					2024-02-07T04:33:00Z	Marina Bazilio Milford		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marina Bazilio Milford
4522784239	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/351003584/original.png	https://www.inaturalist.org/photos/351003584					2024-02-07T04:33:00Z	Marina Bazilio Milford		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marina Bazilio Milford
4522784239	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/351003563/original.png	https://www.inaturalist.org/photos/351003563					2024-02-07T04:33:00Z	Marina Bazilio Milford		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marina Bazilio Milford
4522751139	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/350990197/original.jpg	https://www.inaturalist.org/photos/350990197					2024-02-11T14:41:50Z	lartigau		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lartigau
4510019785	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250426083/original.jpeg	https://www.inaturalist.org/photos/250426083					2022-12-18T04:22:26Z	Juan Buseghin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan Buseghin
4510019785	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250426036/original.jpeg	https://www.inaturalist.org/photos/250426036					2022-12-18T04:22:25Z	Juan Buseghin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan Buseghin
4458542409	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/339187904/original.jpeg	https://www.inaturalist.org/photos/339187904					2023-11-28T19:35:19Z	tresg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tresg
4458469869	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/338711854/original.jpg	https://www.inaturalist.org/photos/338711854					2023-12-02T02:48:09Z	Randall Jiménez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Jiménez
4440802736	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/335033136/original.jpg	https://www.inaturalist.org/photos/335033136					2023-11-15T02:16:35Z	Gilberto S. S. Almeida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gilberto S. S. Almeida
4438949869	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/332774182/original.jpg	https://www.inaturalist.org/photos/332774182					2023-11-03T21:42:34Z	Gilberto S. S. Almeida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gilberto S. S. Almeida
4438810450	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/332773946/original.jpg	https://www.inaturalist.org/photos/332773946					2023-11-03T21:41:59Z	Gilberto S. S. Almeida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gilberto S. S. Almeida
4438743667	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/332774241/original.jpg	https://www.inaturalist.org/photos/332774241					2023-10-28T00:00:00Z	Gilberto S. S. Almeida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gilberto S. S. Almeida
4438688766	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/332774212/original.jpg	https://www.inaturalist.org/photos/332774212					2023-10-28T22:45:00Z	Gilberto S. S. Almeida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gilberto S. S. Almeida
4436148530	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/331008789/original.jpeg	https://www.inaturalist.org/photos/331008789					2023-10-26T17:15:58Z	Guilherme Willrich		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Guilherme Willrich
4431157914	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/329307833/original.jpg	https://www.inaturalist.org/photos/329307833					2023-09-28T22:17:00Z	Pedro Thiago Santos Nogueira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Pedro Thiago Santos Nogueira
4431157914	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/329307828/original.jpg	https://www.inaturalist.org/photos/329307828					2023-09-28T22:17:00Z	Pedro Thiago Santos Nogueira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Pedro Thiago Santos Nogueira
4430945768	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/307231733/original.jpeg	https://www.inaturalist.org/photos/307231733					2023-07-25T00:13:43Z	accidentalshrike		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	accidentalshrike
4430945768	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/307231700/original.jpeg	https://www.inaturalist.org/photos/307231700					2023-07-25T04:13:55Z	accidentalshrike		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	accidentalshrike
4430892144	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256003496/original.jpeg	https://www.inaturalist.org/photos/256003496					2023-02-13T00:00:54Z	fabiana dos santos de oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fabiana dos santos de oliveira
4430892144	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256003465/original.jpeg	https://www.inaturalist.org/photos/256003465					2023-02-13T00:00:11Z	fabiana dos santos de oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fabiana dos santos de oliveira
4430892144	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256003583/original.jpeg	https://www.inaturalist.org/photos/256003583					2023-02-12T23:59:50Z	fabiana dos santos de oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fabiana dos santos de oliveira
4430503802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/327055077/original.jpg	https://www.inaturalist.org/photos/327055077					2023-09-07T01:10:53Z	Juan Luis Hanoun Castro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan Luis Hanoun Castro
